工作区	工作点编号	横坐标（米）	纵坐标（米）	横坐标（新）
I	1	11.5	61.5	
I	2	31.5	61.5	
I	3	51.5	61.5	
I	4	71.5	61.5	
I	5	11.5	51.5	
I	6	31.5	51.5	
I	7	51.5	51.5	
I	8	71.5	51.5	
I	9	11.5	41.5	
I	10	31.5	41.5	
I	11	51.5	41.5	
I	12	71.5	41.5	
I	13	11.5	31.5	
I	14	31.5	31.5	
I	15	51.5	31.5	
I	16	71.5	31.5	
I	17	11.5	21.5	
I	18	31.5	21.5	
I	19	51.5	21.5	
I	20	71.5	21.5	
I	21	11.5	11.5	
I	22	31.5	11.5	
I	23	51.5	11.5	
I	24	71.5	11.5	
II	1	93	61.5	
II	2	113	61.5	
II	3	133	61.5	
II	4	153	61.5	
II	5	93	51.5	
II	6	113	51.5	
II	7	133	51.5	
II	8	153	51.5	
II	9	93	41.5	
II	10	113	41.5	
II	11	133	41.5	
II	12	153	41.5	
II	13	93	31.5	
II	14	113	31.5	
II	15	133	31.5	
II	16	153	31.5	
II	17	93	21.5	
II	18	113	21.5	
II	19	133	21.5	
II	20	153	21.5	
II	21	93	11.5	
II	22	113	11.5	
II	23	133	11.5	
II	24	153	11.5	
III	1	3	131.5	
III	2	23	131.5	
III	3	43	131.5	
III	4	63	131.5	
III	5	103	131.5	
III	6	123	131.5	
III	7	143	131.5	
III	8	163	131.5	
III	9	3	111.5	
III	10	23	111.5	
III	11	43	111.5	
III	12	63	111.5	
III	13	103	111.5	
III	14	123	111.5	
III	15	143	111.5	
III	16	163	111.5	
III	17	3	91.5	
III	18	23	91.5	
III	19	43	91.5	
III	20	63	91.5	
III	21	103	91.5	
III	22	123	91.5	
III	23	143	91.5	
III	24	163	91.5	
